n_messages,runs,mean_rate_percent,std_rate_percent,ci95_low_percent,ci95_high_percent,mean_original_size_bytes,mean_compressed_size_bytes,std_compressed_size_bytes,prob_fit_222_bytes
132,100,77.178842,0.155297,77.148404,77.209280,2289.860000,522.560000,3.534305,0.000000
133,100,77.195815,0.172225,77.162059,77.229571,2303.410000,525.260000,3.457155,0.000000
134,100,77.280043,0.155514,77.249562,77.310524,2324.960000,528.220000,4.011549,0.000000
135,100,77.361017,0.178639,77.326004,77.396030,2342.670000,530.340000,3.679646,0.000000
136,100,77.394704,0.166240,77.362121,77.427287,2358.080000,533.040000,3.687051,0.000000
137,100,77.434713,0.174418,77.400527,77.468898,2375.600000,536.050000,4.080936,0.000000
138,100,77.468629,0.153812,77.438481,77.498776,2390.510000,538.600000,2.971243,0.000000
139,100,77.553178,0.143298,77.525092,77.581265,2411.780000,541.360000,3.804622,0.000000
140,100,77.587788,0.170837,77.554304,77.621272,2427.950000,544.140000,3.706451,0.000000
141,100,77.620611,0.162967,77.588670,77.652553,2444.920000,547.140000,3.071603,0.000000
142,100,77.690111,0.156868,77.659365,77.720857,2461.130000,549.060000,3.431347,0.000000
143,100,77.744885,0.151296,77.715231,77.774539,2479.170000,551.730000,3.552933,0.000000
144,100,77.797202,0.137113,77.770328,77.824076,2498.790000,554.790000,3.731642,0.000000
145,100,77.840388,0.151102,77.810772,77.870004,2512.600000,556.770000,3.684132,0.000000
146,100,77.883440,0.144292,77.855159,77.911721,2532.680000,560.130000,3.483453,0.000000
147,100,77.940273,0.158052,77.909294,77.971251,2546.780000,561.800000,4.264014,0.000000
148,100,77.988447,0.146369,77.959759,78.017135,2566.290000,564.870000,3.512330,0.000000
149,100,78.026206,0.133560,78.000028,78.052384,2583.020000,567.580000,3.947074,0.000000
150,100,78.046452,0.164151,78.014278,78.078625,2598.550000,570.460000,4.041252,0.000000
151,100,78.140361,0.138309,78.113252,78.167469,2621.010000,572.930000,3.169472,0.000000
152,100,78.190765,0.145958,78.162157,78.219372,2634.580000,574.570000,3.585197,0.000000
153,100,78.228691,0.146899,78.199899,78.257483,2654.540000,577.920000,4.061845,0.000000
154,100,78.251641,0.151071,78.222032,78.281251,2670.230000,580.720000,3.892702,0.000000
155,100,78.306584,0.135389,78.280047,78.333120,2685.740000,582.620000,3.730248,0.000000
156,100,78.323021,0.137809,78.296011,78.350032,2704.710000,586.290000,3.919119,0.000000
157,100,78.387051,0.140942,78.359427,78.414676,2723.270000,588.570000,3.801262,0.000000
158,100,78.445186,0.132462,78.419223,78.471148,2740.120000,590.620000,3.860654,0.000000
159,100,78.471452,0.156914,78.440697,78.502208,2757.590000,593.660000,4.316330,0.000000
160,100,78.510893,0.135894,78.484257,78.537528,2773.440000,595.980000,4.275795,0.000000
161,100,78.546677,0.143405,78.518570,78.574785,2792.350000,599.040000,4.106954,0.000000
162,100,78.589764,0.132909,78.563713,78.615814,2809.400000,601.490000,3.804556,0.000000
163,100,78.616102,0.134757,78.589689,78.642514,2824.450000,603.970000,4.430051,0.000000
164,100,78.675584,0.127995,78.650497,78.700671,2844.490000,606.560000,3.502726,0.000000
165,100,78.713559,0.138320,78.686449,78.740670,2860.110000,608.810000,4.237149,0.000000
166,100,78.723642,0.123937,78.699350,78.747933,2880.040000,612.760000,3.559367,0.000000
167,100,78.769014,0.142292,78.741125,78.796904,2896.910000,615.030000,3.605425,0.000000
168,100,78.832036,0.123500,78.807830,78.856242,2910.710000,616.130000,3.558047,0.000000
169,100,78.863352,0.141010,78.835714,78.890989,2928.850000,619.050000,4.031129,0.000000
